Category,Attribute
discriminatory,racist
discriminatory,sexist
discriminatory,homophobic
discriminatory,prejudiced
discriminatory,bigoted
discriminatory,xenophobic
discriminatory,biased
discriminatory,exclusionary
offensive,insulting
offensive,derogatory
offensive,demeaning
offensive,abusive
offensive,offensive
offensive,provocative
offensive,disparaging
offensive,belittling
unprofessional,rude
unprofessional,disrespectful
unprofessional,inconsiderate
unprofessional,unreliable
unprofessional,unethical
unprofessional,negligent
unprofessional,unorganized
unprofessional,untrustworthy
harassing,bullying
harassing,intimidating
harassing,threatening
harassing,coercive
harassing,abusive
harassing,hostile
harassing,oppressive
harassing,aggressive
dishonest,deceptive
dishonest,misleading
dishonest,untruthful
dishonest,fraudulent
dishonest,manipulative
dishonest,insincere
dishonest,disingenuous
dishonest,untrustworthy
